year;sex;age;pop;immig;emig;born;dead
2002;2;82;35154;8;29;0;2035
2002;2;83;27075;5;9;0;1839
2002;2;84;25110;9;7;0;1871
2002;2;85;23437;7;10;0;2144
2002;2;86;20844;7;8;0;2135
2002;2;87;18430;3;9;0;2245
2002;2;88;16659;10;4;0;2351
2002;2;89;14363;5;9;0;2142
2002;2;90;12249;3;6;0;2300
2002;2;91;9723;3;3;0;2088
2002;2;92;7829;3;8;0;1817
2002;2;93;6246;4;2;0;1629
2002;2;94;4621;0;0;0;1416
2002;2;95;3400;1;1;0;1117
2002;2;96;2415;0;2;0;931
2002;2;97;1599;0;0;0;717
2002;2;98;1070;0;1;0;504
2002;2;99;717;0;1;0;342
2002;2;100;959;1;2;0;580
2003;1;0;51138;357;166;0;167
2003;1;1;49687;617;286;0;30
2003;1;2;47852;497;277;0;10
2003;1;3;47680;480;246;0;13
2003;1;4;46438;485;229;0;7
2003;1;5;47322;493;209;0;9
2003;1;6;47587;451;270;0;5
2003;1;7;49748;441;228;0;6
2003;1;8;54127;427;219;0;4
2003;1;9;58274;433;184;0;4
2003;1;10;60944;433;189;0;6
2003;1;11;64393;371;179;0;7
2003;1;12;65920;387;178;0;8
2003;1;13;66380;396;143;0;10
2003;1;14;62910;382;139;1;6
2003;1;15;61546;380;112;7;7
2003;1;16;57461;401;126;24;12
2003;1;17;56887;397;88;96;19
2003;1;18;55386;405;85;184;23
2003;1;19;53137;362;146;286;31
2003;1;20;51846;456;223;535;34
2003;1;21;52409;613;305;851;39
2003;1;22;52501;835;325;1062;32
2003;1;23;54561;1036;378;1402;41
2003;1;24;53777;1106;418;1681;36
2003;1;25;52613;1172;479;1955;43
2003;1;26;54324;1089;580;2374;34
2003;1;27;55770;1058;542;2887;25
2003;1;28;58540;1085;555;3463;45
2003;1;29;61714;948;540;3977;29
2003;1;30;61327;943;511;4154;41
2003;1;31;62604;888;539;4201;39
2003;1;32;63342;822;495;4072;23
2003;1;33;61217;791;448;3529;35
2003;1;34;61231;705;470;2964;47
2003;1;35;64056;663;446;2743;63
2003;1;36;68304;648;437;2308;51
2003;1;37;69360;663;428;1878;54
2003;1;38;69569;574;432;1521;63
2003;1;39;69287;481;416;1116;86
2003;1;40;64913;540;336;718;74
2003;1;41;61657;445;339;505;90
2003;1;42;59692;360;350;291;79
2003;1;43;58662;429;302;165;97
2003;1;44;59591;332;230;90;104
2003;1;45;59284;335;249;42;115
2003;1;46;59608;320;219;19;117
2003;1;47;60531;296;240;7;124
2003;1;48;59084;267;230;4;166
2003;1;49;57967;239;186;2;170
2003;1;50;59520;214;188;0;180
2003;1;51;58920;207;178;0;194
2003;1;52;58275;224;176;0;186
2003;1;53;60914;193;169;0;254
2003;1;54;62775;172;144;0;275
2003;1;55;64722;195;162;0;324
2003;1;56;65380;151;122;0;371
2003;1;57;66266;165;104;0;392
2003;1;58;65776;137;116;0;398
2003;1;59;64672;139;109;0;448
2003;1;60;59973;143;134;0;451
2003;1;61;54971;157;108;0;457
2003;1;62;48023;116;105;0;505
2003;1;63;45558;112;77;0;482
2003;1;64;45202;103;78;0;515
2003;1;65;42665;99;103;0;601
2003;1;66;40145;76;86;0;619
2003;1;67;38251;60;57;0;628
2003;1;68;36338;59;52;0;672
2003;1;69;34308;43;59;0;687
2003;1;70;33048;31;38;0;772
2003;1;71;33427;41;36;0;899
2003;1;72;32529;26;22;0;914
2003;1;73;31994;30;25;0;1041
2003;1;74;30152;17;26;0;1073
